id	institutionCode	collectionCode	basisOfRecord	occurrenceID	organismQuantity	organismQuantityType	occurrenceStatus	eventDate	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT	scientificNameID	scientificName
REIS662	CMLRE	SS394	HumanObservation	REIS662	3	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:267453	Gorgonia sp.
REIS663	CMLRE	SS394	HumanObservation	REIS663	5	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:125291	Anthelia sp.
REIS664	CMLRE	SS394	HumanObservation	REIS664	1	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:205785	Palythoa sp.
REIS665	CMLRE	SS394	HumanObservation	REIS665	35	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:220521	Zoanthus sansibaricus
REIS666	CMLRE	SS394	HumanObservation	REIS666	35	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:212298	Culcita novaeguineae
REIS667	CMLRE	SS394	HumanObservation	REIS667	20	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:213286	Protoreaster linckii
REIS668	CMLRE	SS394	HumanObservation	REIS668	7	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:212298	Culcita novaeguineae
REIS669	CMLRE	SS394	HumanObservation	REIS669	10	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:123081	Crinoid sp.
REIS670	CMLRE	SS394	HumanObservation	REIS670	70	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:213378	Echinothrix diadema
REIS671	CMLRE	SS394	HumanObservation	REIS671	26	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:213372	Diadema setosum
REIS672	CMLRE	SS394	HumanObservation	REIS672	7	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:206173	Stomopneustes sp.
REIS673	CMLRE	SS394	HumanObservation	REIS673	10	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:210813	Holothuria scabra
REIS674	CMLRE	SS394	HumanObservation	REIS674	4	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:123084	Ophiuroidea
REIS675	CMLRE	SS394	HumanObservation	REIS675	68	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:213150	Chelidonura electra
REIS676	CMLRE	SS394	HumanObservation	REIS676	1	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:149	Buccinidae
REIS677	CMLRE	SS394	HumanObservation	REIS677	1	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:137813	Conus sp.
REIS678	CMLRE	SS394	HumanObservation	REIS678	4	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:131834	Haliclona sp.1
REIS679	CMLRE	SS394	HumanObservation	REIS679	4	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:131834	Haliclone sp.2
